rating,review
5,ok
5,pengiriman lama
3,Nugget 1pcsnya bau gak bisa dimakan sama sekali
5,"Enak bgt rasanya, unik krn ada bubble coating nya yg bikin makin garing"
5,"Kalau kualitas barang TIDAK DIRAGUKAN terutama dari segi rasa, namun saya KAPOK pesan online karena barang baru datang 1 minggu !!!"
5,ok
5,ok
5,Makanan sesuai deskripsi
5,Makanan sesuai deskripsi
5,"enak, selalu langganan disini"
1,
1,
4,pengirimannya agak lama
4,pengirimannya agak lama
4,pengirimannya agak lama
4,"kurirnya ngerepotin ,nelp dan wa  terus ( berhub no tak dikenal! tidak diangkat lah) dan mastiin lokasi.( liat aplikasi jangan manja!) ngeganggu kurir toko yang kayak gin... "
4,"kurirnya ngerepotin ,nelp dan wa  terus ( berhub no tak dikenal! tidak diangkat lah) dan mastiin lokasi.( liat aplikasi jangan manja!) ngeganggu kurir toko yang kayak gin... "
5,alhamdulillah...
5,enak
5,pengiriman sekitar 2-3 hari dr tanggal pesan
4,Pengiriman lama banget
4,Pengiriman lama banget
4,Pengiriman lama banget
5,Kali oni sehari nyampe. Nugget ini enakkkk 👍
5,semoga anakqu suka
5,paket muce
5,semoga rasanya anakqu suka
5,rasanya mantul.. kesukaan anakqu
5,rasanya mantul.. kesukaan anakqu
5,semoga anakq suka
5,semoga anakqu suka
5,kesukaan anakku.. krn ada crispy bubblenya..
5,"udh langganan sih beli di toko ini,tp yg kali ini pengiriman lama beud dah scara ini kan Frozen food ya TKT busuk klo klamaan di jalan,stlh si komplain barulan itu Frozen... "
3,"7 hari pengiriman, kalau gk di komplain gk nyampe."
3,"7 hari pengiriman, kalau gk di komplain gk nyampe."
3,tolong untuk lebih responsive
3,
3,
4,"produk ok, kiriman yg terlambat, tp. sudah bersalah diselesaikan. terimakasih seller"
2,
2,"Stlh dikomplain baru barangnya dikirim, parah sih adminnya super gak responsif di chat ditanya status pengirimannya gk prnh ada balasan pdhl Fiesta ini nugget favorit say... "
5,pengiriman lumayan lama ya. +/- 1 minggu
3,
1,
3,"Susis ini enak, sdh pernah beli. Tapi sayang, kali beli 6 hr baru dikirim oleh kurir toko, katanya ada kesalahan teknis di mereka."
4,oke.. meski sempet kecewa komplen dlu krn lama dikirimnya akhirnya nyampe jg pesanannya
5,Cepet dan mantep
4,Pengiriman lama
5,enak
5,"Sudah langganan, nugget ini enakkkk. Seller official store 👍"
4,pengiriman cukup lama. melewati  waktu kirim. sehingga harus komplain ke toko pedia. tolong dikoreksi
1,
4,Sampainya lama
1,"Parah sih udah langganan sama fiesta tapi produk ga dikirim-kirim lebih dari seminggu! harus di komplain dulu baru dikirim, sebelumnya juga mesen 4 pack, pengirimannya ju... "
4,kenapa beda dg yg dulu? enakan yg lama
1,
1,
5,"barang sih oke, sayang pelayanan lambat."
5,barangnya sih oke tetapi pelayanan lambat. pesan hari Senin baru dikirim Jumat. terhalang hari libur.
3,pengiriman lama
5,paketnya sdh sampai dg cepat mantap teirma ksh
5,sesuai pesanan respon n dwliveey cepat
5,Worth it untuk beli online 👍👍👍
5,Barang sesuai pesanan.
5,ok
4,"Kurir toko kalau nganter udh ke2x ga ketok2/bel info penerima, main gantung aja sampai barang udh lumer panas. Untung gak basi"
5,"sangat membantu utk sarapan anak sekolah, 👍"
5,sesuai pesanan..
5,"Nugget ini enak banget, di rmh suka semua. Daging asli gak kebanyakan tepung, kejunya juga mantap. Barangnya baru, dianter langsung kurir Fiesta 👍👍👍"
3,Mengecewakan.  Proses pengiriman lumayan lama. Chat penjual juga tidak direspon. Barang baru dikirim setelah dikomplain. Packingnya seperti abis belanja di supermarket at... 
5,sempat salah paham krn banyaknya nugget di kulkas sampek ga liat yg beli disini udah nyampek...mohon maaf...sukses selalu
4,"kalo soal produk paling enak, exp panjang
pengiriman  lama"
4,"kalo soal produk paling enak, exp panjang
pengiriman  lama"
5,pengiriman h+1
5,enak2
5,Superb...pengiriman cepat dan fast response sukses selalu seller
5,enak dan terjangkau
1,"lama banget pengirimannya gila!! order tgl 26, tgl 30 bru di kirim. di chat gak respond, hebat emang."
5,Mantap. butuh urgent dan sempat takut ga kekirim karena weekend. tapi ternyata 2 hari sudah datang. thank you
5,ok
5,"ada kasus sedikit krn lama respon utk pengiriman lewat kurir toko, tapi barang nyampe meski perlu sabar nunggu"
1,Gak di update pengiriman jadi barang rusak semua
1,Gak pernah di update jadi barang rusak
5,"pengiriman tidak lama, dan produk sampai dengan kondisi baik, kualitasnya tidak diragukan utk aiomay ayamnya"
5,"beli di flash sale, harga murah, pengiriman cepat"
5,👍🏻
5,👍🏻
5,Ok
5,Ok
5,Ok
5,"rasa selalu enak, awet walau cuma di AC mobil pun, paginya langsung goreng yummy yummy, next ditggu promo nya lagi yah, makasih"
5,"brg sudah diterima dg baik, terima kasih banyak"
5,"mantap, sering beli disini dan selalu puas"
4,"Pesanan sesuai, tuk proses n pengiriman seperti yg lain di kolom komentar….pesan tgl.10 sampai tgl. 17, tapi seller komunikatif, terima kasih"
5,Barangnya sesuai dengan penjelasan di deskripsi productnya
5,enak.. pesanan yg kesekian x nya
5,pengiriman nya agak lama
5,thanks.. sesuai pesanan...
3,"Krempeng asli nya chicken strips ini. Delivery (kurir toko) slalu deh klo sampe ga ada info ke org rmh, main di gantung pake kresek gt jd pas ketauan udh lumer dan bahkan... "
5,Thankss sesuai dengan pesanan..
3,
5,ok
5,ok
5,ok
5,Recomended 👍
4,ok
5,"Seller oke, sudah sering beli. Enak, cocok 👍👍👍"
5,pengirimannya lama
5,pengirimannya lama
3,
5,Pelayanan nya memuaskan
4,"kecewa sama pengirimannya sih, agak telat dan info resi untuk ngelacak nggak jelas. ya semoga kedepannya bisa diperbaiki lah"
4,"cukup kecewa sama pengirimannya sih, soalnya cuma bisa pake custom kurir dan datengnya telat. next time lebih diperbaiki masalah pengirimannya ya"
5,"rasanya enak, favorit keluarga, dikirim dengan aman dan masih dingin, tapi packing dan pengiriman agak lama"
4,"barang semua dateng seperti kita kalo belanja di alfa/indomaret dalam 1 kantong plastik tidak dalam keadaan beku. ayam karage lembek juga siomay .
mohon ditingkatkan pela... "
5,"ok
mantap😊"
5,mantabs
5,enak
5,"sy kira blm sampai soalnya statusnya masih pengiriman, ternyata sudah sampai 2 hari yg lalu info dari orang rumah..."
1,
1,
1,
1,
5,sesuai
1,
5,"kualitasnya bagus, harga lagi promo, semoga promonya tetap ada"
5,"kualitasnya bagus, harga lagi promo, semoga promonya tetap ada"
5,rasa enak.bahan berkualitas
5,mantap.. pesanan yg kesekian kalinya
1,Order tanggal 25 maret baru datang tanggal 1 april. Kemasan tidak tertutup rapih. Official store tapi servisnya gak profesional.
4,"Barang oke memang sering beli nugget 
fiesta, harga oke karena lago promo juga, sebenarnya menyenangkan karena free ongkir pakai kurir toko,  tertulisnya 2x24jam tapi ter... "
2,"Pengiriman lama, packaging tidak aman dan slow respond penjual."
1,"Ngirim ny lama bgt ampun , ga lagi” deh , butuh ny senen , jumat baru sampe , tuh naget ud jadi bakmi kya ny"
1,"Ga lagi” deh belanja dsni , pengiriman ny kya dari arab saudi"
3,
5,Nyampe ga di kabarin tulisanya pengiriman terus alhasil lama di lobby kostan.
5,enak.. good
5,"Barang sudah sampe sesuai pesanan, cuma ordernya hrs pagi baru sampe di hari yg sama Nugget ini enak, sudah cocok 👍👍"
5,"Oke
Ori"
5,👍👍👍
5,👍👍👍
5,Pengirimannya cepat.
4,"pesennya nugget biasa tp yg dateng spicy nugget, gatau mana yg lebih mahal tp maunya nugget biasa. gasuka spicy nugget, harusnya chat dulu kalo emng gaada apa mau tuker g... "
5,pelayanannya bagus! rekomended ya
5,Gurih banget rasanya dan nikmat. Thank u so much
1,"lebih baik tidak membeli produk merk ini karena pelayan consumennya sangat mengecewakan, mereka pun tidak peduli kehilangan pelanggan"
1,"lebih baik tidak membeli produk merk ini karena pelayan consumennya sangat mengecewakan, mereka pun tidak peduli kehilangan pelanggan"
1,"lebih baik tidak membeli produk merk ini karena pelayan consumennya sangat mengecewakan, mereka pun tidak peduli kehilangan pelanggan"
5,Barang diterima dlm kondisi baik sesuai pesanan. Kualitas original hanya sayang  hanya bisa pakai kurir toko yang sampai nya paling cepat 2 hari. Jadi kalo perlu mendadak... 
5,Barang diterima dlm kondisi baik sesuai pesanan. Kualitas original hanya sayang  hanya bisa pakai kurir toko yang sampai nya paling cepat 2 hari. Jadi kalo perlu mendadak... 
5,Barang diterima dlm kondisi baik sesuai pesanan. Kualitas original hanya sayang  hanya bisa pakai kurir toko yang sampai nya paling cepat 2 hari. Jadi kalo perlu mendadak... 
5,sip
5,"pngiriman cepat ayamnya enak exp msih lma, cuma sayangnya di pngimputan pnyelesaian pngiriman lama, di teliti lgi ya biar bisa di selesaikan krna barangnya sudah datang d... "
5,Enak rasanya
3,Rasa manis ga ada spicy nya
5,ok
5,ok👍😊
1,nyampe nya luamaaaaa
5,"cepat sampainya, barang sesuai dengan deskripsi. 👍"
5,oke.. enak
5,fiesta... makanan praktis yg jadi andalaann
5,sesuai pesanan
5,sesuai pesanan...
5,ini gmn yaa saya belum terima pesenannya Dan sudah komplain berkali2 tapi belum ditanggapi..padahal saya berlangganan disini...
5,"official, murah, produk ok, dapat bonus."
2,
2,
5,"mantabs lah 
makasi seller n toped"
5,"mantabs lah 
makasi seller n toped"
5,Langganan....langganan Fiesta....seppp
5,Sdh langganan terus sama sosis2 nya Fiesta overall tdk mengecewakan begitu jg utk pengirimannya...Good job...
2,
2,pengiriman lama
5,"Barang diterima dlm kondisi baik sesuai pesanan. Harga bersaing, produk original."
5,"Barang diterima dlm kondisi baik sesuai pesanan. Harga bersaing, produk original."
4,"baru kali ini order dengan pengiriman yang terlama,kesalahan administrasi sepertinya ! beli tgl 6 feb diterima tanggal 17 feb . semoga next time lebih tertib pendataannya... "
5,Langganan
5,Always 👍 👍 👍
5,Always 👍 👍 👍
5,"Pengiriman lumayan cepat, packing aman, harga terjangkau, semoga enak."
5,"Pengiriman aman, packing aman, langsung goreng enak banget ayamnya."
4,pesen paket is karage pedas sama nugget pedas...yg dtg karage pedas sama nugget zoo....gimana nih....seller?
5,"Cepat bangetssss.. Makasih Seller, Tokped dan Kurir"
5,"lamaa ditunggu2, tidak bisa dilacak...sampai komplen ke tokopedia....gak taunya sdh ada di freezer😀"
5,sesuai pesanan packing rapi dan kualitas bagus
5,Mantap pengiriman cepat...
5,udh pasti lbh ekonomis 👍
3,pengiriman terlalu lams
3,pengiriman nya terlalu lama
5,fiesta selalu jadi favorit keluarga.
5,pembelian yg kesekian kalinya.
5,"mantabs mmng fiesta. pengiriman jg cepat. tp pesan spicy nugget di kirim spicy karage..😀
makasih seller n toped"
5,good.. praktis beli online lbh baik lg kalo pengirimannya lbh cepat
5,"kualitas product bagus, packing rapi, pelayanannya juga baik"
5,"Seller Ok, sudah sering beli, enak 👍👍"
5,lama pengirimannya ternyata ordermya diputer2 dr jakut ke jakbar
5,favorit keluarga n langganan beli dsini thank you
5,"Makasih Prima, Tokped dan Kurir"
5,Good
4,"Rasa sih oke punya, perlu diperhatikam proses pengiriman yg lumayan lama"
4,"Untuk rasa sudah tidak diragukan lagi, sayang pengiriman lama"
4,tidak ada exp di bungkusanya
5,pengiriman cepet and aman..
4,pengiriman agak lama dan tidak bisa dilacak
5,pengiriman agak lama dan tdk bisa dilacak
4,"Barang kosong tp sdh refund dananya, penjual cukup membantu walaupun agak kecewa juga krn barang ini kesukaan anak2 tolong diberi keterangan kalau barang tsb kosong atau... "
5,pesanan sdh diterima...barang msh fresh
5,pesanan sdh diterima...barang msh fresh
5,pesanan sdh diterima...barang msh fresh
5,"Sip, penjual ramah dan sigap"
5,Brg telah sampai dgn keadaan baik.
5,oke.. langganan
5,mantap
5,pesanan sesuai
5,"kondisi product bagus, packing rapi, rasanya memang enak.
pelayanannya juga baik"
3,Admin kurang responsive
5,selalu langganan beli dsini thank you
5,Sudah langganan....langganan...mantap...pengiriman cepat....
5,"Sudah sampe sesuai pesanan & jadwal, pesennya pagi pas toko  buka 👍👍"
5,produk dan toko terbaik.
5,pengiriman aman.
5,Mantap.. 👍🏻
5,Mantap... 👍🏻
5,"ok
sesuai order
thank you 👍😊"
5,Produk dan toko langganan.
5,Mantap... 👍🏻
5,"Kentangnya enak, Mantap"
5,"Mantap, rasanya enak. dikukus enak, digoreng juga enak"
5,"Alhamdulillah barang sudah sampai dan sesuai dengan pesanan, exp masih aman 👌👍
terima kasih buat seller responnya ok packaging ok dan amanah 👍
terima kasih buat kurir... "
5,"Alhamdulillah barang sudah sampai dan sesuai dengan pesanan exp masih aman👌👍
terima kasih buat seller responnya ok packaging ok dan amanah 👍
terima kasih buat kurir ya... "
5,paket sudah diterima dengan baik pengiriman cepat dan aman thank you
5,bikin laper terus
5,enaak
5,favorit keluarga & selalu ada dirumah
5,pengiriman cepat. exp date masih lama.
5,"Tumben agak lama dtgnya produknya. Makasih Seller, Tokped dan Kurir"
4,ok
4,"pengiriman lama, lebih dari estimasi"
5,kualitas ayam produk fiesta gk usah di ragukan lg... semua enak2... rasa fried chicken nya gk kalah dgn merk terkenal... proses n pengiriman cepat... 2 hari sdh smp
5,"ada sedikit masalah dalam pengiriman tp Penjual menyelesaikan dengan baik ... respon penjual sangat baik...
sy senang..."
4,lama jg proses n responsnya
4,lama jg proses n responsnya
5,Pengiriman lama tapi produk aman
5,"Pengiriman lama , gatau kenapa padahal kl cepet mw langganan"
5,puas
5,"selalu puas, tdk terhitung brp kali pesan disini"
5,Produk dan toko langganan.
1,
2,"Produk ok,tp Sempat salah barang.Seller G pernah jwb chat & pengiriman cm ada kurir toko yg G jelas/G bs dtrack jd kl butuh cepat JANGAN BELANJA DISINI..LAMAAAAAAAAA.... "
3,lamaaaaa
5,Bagus
5,Bagus
5,Thanks barangnya sdh d terima
5,Thanks barangnya sdh dterima
5,"seperti biasa, bintang 5"
4,waktu pengiriman lama
4,waktu pengiriman lama
5,ori bos
5,ori bos
5,Mantap👍
5,rasanya enak...pengiriman cepat
5,barang bagus. fast delivery
5,"Produknya sesuai pesanan, expired masih lama, pengiriman cepat"
5,"produknya sesuai pesanan, expired masih lama, pengiriman cepat"
3,👍
5,kurir nya bertanggung jwb! 👍
5,sudah sampai dengan aman
5,lama banget pengirimannya.
5,paket sudah diterima dengan baik pengiriman cepat dan aman thank you
5,"Pengiriman cepat, golden fiesta masih fresh...Top dah"
5,enakkkk selalu
4,"Bintang 5 buat spicy chicken karage nya
bintang 3 buat spicy nuggetnya (karena ukurannya makin kecil dari sebelumnya)"
5,mantap....
5,pesanan tepat dan cepat sampai. terima kasih seller
5,"rasanya enak bgt, bahannya berkualitas baik, pelayanannya juga bagus"
5,"favourite anak2, selalu dibawa buat bekal sekolah. pelayanannya juga baik"
5,rasanya enak
5,sesuai
4,"Pengiriman tumben agak lama, tp paket tiba dgn selamat"
1,"Kondisi barang sudah tdk dingin, padahal dikirim pagi hari, ga jelas diluar kulkas sudah berapa lama"
5,✅👌👌👌👌👌
5,👌👌👌👌
5,Penyelesaian pesanan sangat lambat pdhl nuggetny aja uda mau abis
5,Profuk masi dingin sampai rmh
5,Produk masi dingin sampe rmh
5,good selalu
5,pesanan sesuai order.prosesnya cepat barangnya ok.
5,pesanan sesuai order.prosesnya cepat barangnya ok.
5,Produk sesuai deskripsi.
4,"PENGIRIMAN MINTA AGAK SORE TAPI DATANGNYA PAGI SEHINGGA MLM BARU MSK KULKAS & 1  KEMASAN KEMBUNG, TIDAK SEPERTI BIASANYA"
5,"pengiriman nya cepet bgt, barang nya Jg enak bgt"
5,"cepet pengiriman nya, kalau soal nugget, fiesta paling enak"
1,"semoga menjadi referensi buat yang lain:
-26sep saya melakukan pemesanan
-28sep pesanan diantar kealamat yang salah 
-1okt saya menanyakan status pesanan saya, tidak dita... "
1,"semoga menjadi referensi buat yang lain:
-26sep saya melakukan pemesanan
-28sep pesanan diantar kealamat yang salah 
-1okt saya menanyakan status pesanan saya, tidak dita... "
1,"semoga menjadi referensi buat yang lain:
-26sep saya melakukan pemesanan
-28sep pesanan diantar kealamat yang salah 
-1okt saya menanyakan status pesanan saya, tidak dita... "
1,
1,
1,
1,
5,original
5,udah abis aja......
5,sampai dengan aman
2,"Pengalaman belanja yang sangat buruk. Respon lama, pengiriman tidak update, barang yang sampai benyek. Nggak akan beli disini lagi :)"
2,"Pengalaman belanja yang sangat buruk. Respon chat lama, pengiriman tidak update, barang yang sampai benyek. Nggak akan beli disini lagi :)"
5,"Super cepat pelayanannya. Sdh langganan. Makasih Seller, Tokped dan Kurir"
5,"kayanya gampang gosong ya mgkn hrs api kecil apa gmn, dan bagian dalemnya masih dingin klo di goreng... yg kena panas luarnya aja... mgkn saya yg blm tau cara masaknya😅"
5,"rasanya enak anak suka, bebas ongkir dan masih beku saat diterima"
5,"enak, akan beli lagi"
1,"barang baru dikirim 1 minggu setelah order itupun setelah komplain ke tokopedia, sblmnya sudah beberapa kali chat penjual namun selalu dijawab template “pengiriman menggu... "
1,"barang baru dikirim 1 minggu setelah order itupun setelah komplain ke tokopedia, sblmnya sudah beberapa kali chat penjual namun selalu dijawab template “pengiriman menggu... "
1,"barang baru dikirim 1 minggu setelah order itupun setelah komplain ke tokopedia, sblmnya sudah beberapa kali chat penjual namun selalu dijawab template “pengiriman menggu... "
3,"Kualitas makanan oke. Tapi pengantaran kali ini lama. Chat bolak balik dibalas sistem, slow respond chat utk yg menjawab masalah."
5,"Barang sdh sampai beberapa hari yg lalu, pengiriman cepat...cuma notifikasi nya saja utk penyelesaian dr pihak admin tidak update jd selalu barang msh dikirim dari pihak... "
2,"harganya oke, customer care kurang, pengiriman lama untuk jenis frozen dengan kurir sendiri, plus parahnya sudah beli banyak tapi di kantongin plastik tipis transparan ya... "
2,"harganya oke, customer care kurang, pengiriman lama untuk jenis frozen dengan kurir sendiri, plus parahnya sudah beli banyak tapi di kantongin plastik tipis transparan ya... "
5,"awalnya di kirimnya yang nugget stikie, begitu komplain besoknya langsung di tuker"
5,"Barang sudah diterima dengan baik,packing oke,barang tidak ada yang rusak/cacat.Barang sesuai judul,sesuai foto,dan sesuai deskripsi.Terima Kasih"
5,"Barang sudah diterima dengan baik,packing oke,barang tidak ada yang rusak/cacat.Barang sesuai judul,sesuai foto,dan sesuai deskripsi.Terima Kasih"
5,"Barang sudah diterima dengan baik,packing oke,barang tidak ada yang rusak/cacat.Barang sesuai judul,sesuai foto,dan sesuai deskripsi.Terima Kasih"
5,"Barang sudah diterima dengan baik,packing oke,barang tidak ada yang rusak/cacat.Barang sesuai judul,sesuai foto,dan sesuai deskripsi.Terima Kasih"
5,"Barang sudah diterima dengan baik,packing oke,barang tidak ada yang rusak/cacat.Barang sesuai judul,sesuai foto,dan sesuai deskripsi.Terima Kasih"
2,"saya kira karena pesanan jabodetabek  pasti paling lam 2hr teryata menunggu sampai 4hr.
hal yg tidak masuk di akal, respon toko lambat seolah2 malas melayani pelanggan,... "
5,"pengiriman cepat, produk bagus, terima kasih"
5,"Sudah sering beli, enak, cocok, response cepat. Tp kl order pagi pas toko buka, jadi bisa dikirim hr itu juga 👍"
5,Akhirnya datang walaupun pengiriman lama. Terima kasih seller 🙆
5,sampenya cepet
5,"pesanan sesuai order.prosesnya cepat barangnya ok produk yang diterima masih segar, karena langsung dari tokonya."
4,"sesuai deskripsi, barang ori, harga promo, ntap!"
5,pengiriman cepat dan tiba dengan selamat
5,selalu langganan di sini kurir ramah dan cepat pula dan dtng lebih fresh
5,selalu langganan di sini kurir ramah dan cepat pula dan dtng lebih fresh
5,"sesuai pesanan, rasanya jg enak..."
5,pengiriman agak lama
5,sering-seringlah promo
5,"Top sesuai pesanan, terimakasih. Sering-seringlah promo.."
5,"Selalu suka beli disini, walau pengiriman tracknya tidak terbaca tapi sampai ke tujuan. mumpung ada cashback 30rb, gasss atuh"
5,"Sampe hari yg sama, pesennya mesti pagi pas toko buka. Brg sesuai pesanan. Pernah sblmnya tdk sesuai pesanan, jadi begitu terima diperikasa dulu aja."
5,terima kasih
5,exp masih lama..kurir agak lama tp gratis ongkir
5,pesanan sesuai order.proses cepat barangnya ok. karena langsung dikirim dari toko ke konsumen..
5,"nugget dtg dlm kondisi baik, rasanya juga enak dan cepat pengantarannya"
5,"mantap lg dapat harga flash sale, jd lumayan murah dpt diskon, semoga ada produk lainnya juga. crispy burger boleh tuuh..."
5,sesuai ekspektasi.
5,"Packing aman, produk datang tanpa cacat & kerusakan. Produk juga sesuai. Minusnya pengiriman agak lambat. Thx tokped & seller"
5,good good banget lah..🥰
5,"selalu puas belanja disini,  serba ol pokoknya 🥰"
5,Mantap di kasih bonuss 😍
5,Mantap di kasih bonus dongg 😍
5,Mantap di kasih bonus 😍
5,"Barang sampe di hari yg sama, sesuai pesanan. Ordernya pagi2 pas toko buka 👍👍"
3,lama sekali kirimnya
5,Pengiriman cepat dan anak saya suka sekali sama nuggetnya
5,"terima kasih pesanan telah diterima
salam sukses selalu lupa foto,,, Alhamdulillah"
5,"Pengiriman nya cepatt, kualitas barang juga ok"
5,Stock sebulan aman dan tenang bersama product andalan dari seller terbaik..
5,Stock sebulan aman dan tenang bersama product andalan dari seller terbaik..
5,Stock sebulan aman dan tenang bersama product andalan dari seller terbaik..
5,Stock sebulan aman dan tenang bersama product andalan dari seller terbaik..
5,"thank you seller, buy 1 get 1 + free ongkir. luar biasa, nikmat Tuhan mana yg kamu dustakan"
5,pengiriman cepat dan tepat. thanks seller
5,"Produk asli original masa exp jauh, dan pengiriman super cepat"
5,"Produk asli original masa exp jauh, dan pengiriman super cepat"
5,sudah sekian kali pesan dsni selalu tdk ada oke
5,"Pesennya kemarin hari ini sampe, pakai kurir toko. Mestinya pesennya pagi pas toko buka, jadi bisa diantar hari yg sama."
5,good
5,"Produknya sesuai deskripsi dan pesanan, expired masih lama, pengiriman cepat"
5,"Produknya sesuai deskripsi dan pesanan, expired masih lama, pengiriman cepat"
5,pengiriman tdk lama. pakai plastik saja mgk krn dr toko terdekat. exp ms lama.
5,pembelian yang ke dua
5,"ok
exp masih lama👍😊"
5,"ok
sesuai order😊👍"
5,"produk sesuai deskripsi, pengiriman sesuai estimasi, expdate masih lama"
5,Nugget nya enak. Proses pengiriman juga cepat.
5,"Sudah sampe sesuai pesanan. Kalau mau beli spy sampe hari itu jg, mestinya belinya pagi2 pas toko buka. Kl belinya siang, dikirimnya besok. Smg membantu pembeli lain."
5,"hemat, tepat, cepat"
5,"hemat, tepat, cepat"
5,pesanan sesuai order. prosesnya cepat. barangnya oke.
5,"Kalau dimakan tanpa nasi rasa spicynya berasa & juicy, enak bgtttt, tapi cita rasanya kurang berasa kalo pake nasi, minus; ukuran nuggetnya kecil"
2,barang kosong
4,Kurirnya agak lama anternya dan exp date yang satu lebih cepat 4 bln 😓
5,Udah 2 hari di kulkas tapi status pengiriman masih dalam perjalanan. Tiba2 sampai paketnya. Good job
5,"Wah, belanjanya sdh bbrp bulan/minggu br muncul Beri Ulasannya skrg.. Spt biasa pelayanan selalu memuaskan, produk segera dikirim oleh Seller. Sptnya aplikasinya yg error... "
3,"pengiriman sangat lama sampe 3 hari lebih. barang sampai jangankan beku, dingin aja ngga. kayak udah beberapa jam di suhu ruang."
3,"pengiriman sangat lama sampe 3 hari lebih. barang sampai jangankan beku, dingin aja ngga. kayak udah beberapa jam di suhu ruang."
3,"pengiriman sangat lama sampe 3 hari lebih. barang sampai jangankan beku, dingin aja ngga. kayak udah beberapa jam di suhu ruang."
3,"pengiriman sangat lama sampe 3 hari lebih. barang sampai jangankan beku, dingin aja ngga. kayak udah beberapa jam di suhu ruang."
5,Second order mantap
5,"Pengiriman cepat, utk kwalitas fiesta tdk usah diragukan... toppppp"
5,"pengiriman cepat, brg ditrima dlm 


keadaan baik"
5,mantab cepat... maknyuss
5,Pesanan sdh terima di hari yg sama. Good 👍👍👍
2,
2,
